hex,built,capacity_cph
872a92193ffffff,0,0
872a92191ffffff,0,0
872a92190ffffff,0,0
872a92194ffffff,1,1
872a92196ffffff,0,0
872a92192ffffff,0,0
872a92561ffffff,0,0
872a9256effffff,0,0
872a92195ffffff,0,0
872a92186ffffff,0,0
872a92184ffffff,0,0
872a921a3ffffff,0,0
872a921a0ffffff,0,0
872a921a5ffffff,0,0
872a921a4ffffff,0,0
872a92c4bffffff,0,0
872a92c4affffff,0,0
872a92c48ffffff,0,0
872a92c4effffff,0,0
872a92c41ffffff,1,1
872a92c6affffff,0,0
872a92c44ffffff,0,0
872a92c46ffffff,0,0
872a92c73ffffff,0,0
872a92c70ffffff,0,0
872a92c72ffffff,0,0
872a92c09ffffff,0,0
872a92c0bffffff,0,0
872a92ce4ffffff,0,0
872a92c19ffffff,0,0
872a92c1bffffff,0,0
872a92cf4ffffff,1,1
872a92cf6ffffff,0,0
872a92cf0ffffff,0,0
872a92cf3ffffff,0,0
872a92cc6ffffff,0,0
872a92cc2ffffff,0,0
872a92cdcffffff,0,0
872a92cd8ffffff,0,0
872a92cd9ffffff,0,0
872a92566ffffff,0,0
872a92cdbffffff,0,0
872a92574ffffff,0,0
872a92575ffffff,0,0
872a92571ffffff,0,0
872a92573ffffff,0,0
872a92554ffffff,0,0
872a92509ffffff,0,0
872a92556ffffff,0,0
872a92425ffffff,0,0
872a92421ffffff,0,0
872a92420ffffff,0,0
872a92423ffffff,0,0
872a92404ffffff,0,0
872a92406ffffff,0,0
872a92415ffffff,0,0
872a924a8ffffff,0,0
872a924aaffffff,0,0
872a92481ffffff,0,0
872661b22ffffff,0,0
872661b21ffffff,0,0
872a921b2ffffff,0,0
872a92cebffffff,0,0
872a92ce8ffffff,0,0
872a92cecffffff,0,0
872a92c53ffffff,0,0
872a92c51ffffff,0,0
872a92c42ffffff,0,0
872a92c43ffffff,0,0
872a92ccdffffff,0,0
872a92476ffffff,0,0
872a9240dffffff,0,0
872a92408ffffff,0,0
872a9240affffff,0,0
872a9241dffffff,0,0
872a92419ffffff,0,0
872a9241bffffff,0,0
872a924f4ffffff,0,0
872a9248dffffff,0,0
872a92489ffffff,0,0
872a92488ffffff,0,0
872661b31ffffff,0,0
872a924a5ffffff,0,0
872a924a0ffffff,0,0
872a924a6ffffff,0,0
872a9259bffffff,0,0
872661b33ffffff,0,0
872665206ffffff,0,0
872665231ffffff,0,0
872665235ffffff,0,0
87266531bffffff,0,0
87266531effffff,0,0
872665313ffffff,0,0
872665215ffffff,0,0
872665234ffffff,0,0
87266531affffff,0,0
8726653a9ffffff,0,0
8726652ecffffff,0,0
872665253ffffff,0,0
872665251ffffff,0,0
8726653adffffff,0,0
872665210ffffff,0,0
872665216ffffff,0,0
8726652a5ffffff,0,0
8726652a0ffffff,0,0
8726652a2ffffff,0,0
8726652b1ffffff,0,0
8726652b3ffffff,0,0
8726652b2ffffff,0,0
872665294ffffff,0,0
872665749ffffff,0,0
872665290ffffff,0,0
872665293ffffff,0,0
87266529effffff,0,0
87266529affffff,0,0
872661934ffffff,0,0
872661935ffffff,0,0
872661930ffffff,0,0
872661931ffffff,0,0
872661933ffffff,0,0
872661932ffffff,0,0
872665649ffffff,0,0
87266564bffffff,0,0
8726619a4ffffff,0,0
872665659ffffff,0,0
8726619a6ffffff,0,0
87266565bffffff,0,0
8726619b5ffffff,0,0
8726619b4ffffff,0,0
8726619b6ffffff,0,0
8726619b2ffffff,1,1
8726656cdffffff,0,0
8726656c8ffffff,0,0
8726656ceffffff,0,0
8726656c3ffffff,0,0
8726656c2ffffff,0,0
8726656d5ffffff,0,0
8726656f3ffffff,0,0
8726656f2ffffff,0,0
8726656c9ffffff,0,0
87266574dffffff,0,0
87266576bffffff,0,0
87266576affffff,0,0
872665768ffffff,0,0
87266576dffffff,0,0
87266539effffff,0,0
87266539cffffff,0,0
872665383ffffff,0,0
87266538effffff,0,0
872665381ffffff,0,0
87266538cffffff,0,0
8726653abffffff,0,0
872665224ffffff,0,0
87266530affffff,0,0
87266530bffffff,0,0
872665309ffffff,0,0
872665372ffffff,0,0
872661b04ffffff,0,0
872661b0bffffff,0,0
872a92416ffffff,0,0
872a92414ffffff,0,0
872a92432ffffff,0,0
872a92436ffffff,0,0
87274b01cffffff,0,0
87274b018ffffff,0,0
87274b01effffff,0,0
87274b0adffffff,0,0
87274b0acffffff,0,0
87274b0a8ffffff,0,0
87274b0aeffffff,0,0
87274b085ffffff,0,0
